label,L_qw,L_qx,L_qy,L_qz,L_f1,L_f2,L_f3,L_f4,L_f5,R_qw,R_qx,R_qy,R_qz,R_f1,R_f2,R_f3,R_f4,R_f5
F,0.2179333333333333,-0.043366666666666664,0.1453,0.9641333333333333,0.0,0.9621,0.1807,0.048,0.6063,0.9265,0.021433333333333332,0.03266666666666667,-0.3742666666666667,0.0,0.0,0.0,1.0,1.0
F,0.2182333333333333,-0.0439,0.14553333333333332,0.964,0.0,0.9696,0.1826,0.0444,0.6349,0.9265,0.021500000000000002,0.032433333333333335,-0.3741999999999999,0.0,0.0,0.0,1.0,1.0
G,0.08533333333333333,0.5027,-0.23933333333333331,0.8262666666666667,0.0,1.0,0.7669,0.7379,0.9023,0.7528,-0.5892,0.10913333333333335,-0.2725,0.8347,1.0,1.0,0.0,0.0
G,0.08949999999999998,0.5009666666666667,-0.24206666666666665,0.8261,0.0,1.0,0.757,0.7338,0.9008,0.7537333333333334,-0.5850333333333333,0.11256666666666666,-0.27730000000000005,0.854,1.0,1.0,0.0,0.0
G,0.09046666666666665,0.5006333333333334,-0.24273333333333333,0.826,0.0,1.0,0.7745,0.7369,0.8768,0.754,-0.5853666666666667,0.11076666666666668,-0.2767,0.9238,1.0,1.0,0.0,0.0
G,0.08983333333333333,0.5007666666666667,-0.24133333333333332,0.8264333333333335,0.0,1.0,0.7536,0.739,0.8588,0.7541666666666668,-0.5856,0.10913333333333335,-0.27646666666666664,0.9542,0.8589,1.0,0.0,0.0
G,0.09063333333333334,0.5010333333333333,-0.2386,0.8269666666666667,0.0,1.0,0.7483,0.7255,0.8588,0.7533333333333333,-0.5861666666666667,0.1074,-0.27826666666666666,1.0,0.0,1.0,0.3602,0.1477
G,0.08966666666666667,0.5023,-0.23753333333333335,0.8265666666666668,0.0,1.0,0.7502,0.7255,0.8933,0.7536999999999999,-0.5856,0.108,-0.2781,1.0,0.0,1.0,0.4735,0.3677
I,0.03553333333333333,-0.055433333333333334,0.4991333333333334,-0.864,0.0,1.0,0.7407,0.0,0.6018,0.7565333333333334,-0.18810000000000002,0.6198333333333333,0.08976666666666666,0.5586,0.0,0.0,0.0,0.0
I,0.03493333333333334,-0.055233333333333336,0.4985,-0.8644,0.0,1.0,0.7381,0.0,0.5928,0.7553666666666666,-0.1892,0.6207,0.0912,0.5693,0.0,0.0,0.0,0.0
I,0.03353333333333333,-0.06016666666666667,0.4931666666666667,-0.8672333333333334,0.0,1.0,0.7354,0.0,0.6138,0.7519,-0.18889999999999998,0.6251333333333333,0.0903,0.591,0.0,0.0,0.0704,0.0
I,0.03406666666666667,-0.06116666666666667,0.49193333333333333,-0.8678333333333333,0.0,0.9846,0.732,0.0034,0.695,0.7517666666666667,-0.1903,0.6248,0.09103333333333334,0.595,0.0,0.0,0.0242,0.0
I,0.03516666666666667,-0.0617,0.4901333333333333,-0.8687666666666667,0.0,1.0,0.7301,0.0,0.6108,0.7515000000000001,-0.18866666666666668,0.6258,0.08946666666666665,0.6,0.0,0.0,0.0116,0.0
I,0.03513333333333333,-0.0605,0.4902333333333333,-0.8687999999999999,0.0,1.0,0.7301,0.0,0.6108,0.7521,-0.18583333333333332,0.6262,0.08733333333333333,0.6,0.0,0.0,0.0396,0.0
I,0.0368,-0.06096666666666667,0.4901333333333333,-0.8687666666666667,0.0,1.0,0.7305,0.0,0.6183,0.7513666666666666,-0.1853,0.6272,0.0878,0.6016,0.0,0.0,0.0662,0.0
L,0.4573666666666667,-0.5526666666666666,-0.2167,0.6621333333333334,0.0,1.0,0.7529,0.0112,0.5657,0.7580333333333332,-0.15966666666666665,0.6263333333333333,0.08700000000000001,0.5843,0.0,0.0,0.0172,0.0
L,0.4560666666666667,-0.5535666666666667,-0.2165,0.6623666666666667,0.0,1.0,0.7506,0.0106,0.5928,0.7577333333333334,-0.15756666666666666,0.6276333333333334,0.08443333333333335,0.5646,0.0,0.0,0.0,0.0
L,0.4564,-0.5535333333333333,-0.21766666666666667,0.6617,0.0,1.0,0.7232,0.0413,0.5853,0.7578333333333335,-0.1575,0.6274333333333333,0.0848,0.5516,0.0,0.0,0.0,0.0
L,0.4540666666666667,-0.5522666666666667,-0.2192333333333333,0.6638666666666667,0.0,1.0,0.7487,0.0138,0.5928,0.759,-0.15703333333333333,0.6262,0.08453333333333334,0.5459,0.0,0.0,0.0,0.0
L,0.45680000000000004,-0.5499333333333333,-0.2182666666666667,0.6643,0.0,1.0,0.7483,0.0112,0.5928,0.7594666666666666,-0.1551,0.6262666666666666,0.08363333333333334,0.5115,0.0,0.0,0.0,0.0
L,0.4607333333333334,-0.5477333333333333,-0.21696666666666667,0.6638000000000001,0.0,1.0,0.7453,0.0153,0.5567,0.7602666666666668,-0.15316666666666667,0.6259333333333333,0.0823,0.4962,0.0,0.0,0.0,0.0
L,0.46163333333333334,-0.5474,-0.21619999999999998,0.6637,0.0,1.0,0.7441,0.0044,0.5718,0.7595666666666667,-0.1542,0.6263333333333333,0.0835,0.5245,0.0,0.0,0.0,0.0
M,0.19663333333333333,0.06846666666666668,-0.8057333333333333,0.5545333333333333,0.0,0.0,0.2031,0.0023,0.5297,0.7830666666666667,-0.11813333333333333,-0.289,-0.5378666666666666,0.0,0.0,1.0,0.5407,1.0
M,0.2011666666666667,0.0681,-0.8052333333333334,0.5536,0.0,0.0042,0.2145,0.0029,0.5612,0.7823666666666668,-0.12106666666666667,-0.2876666666666667,-0.5389333333333334,0.0,0.0,1.0,0.4903,1.0
